项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130688,3/5 13:00,JERSEY 3:0 PALESTINE,BAND Joshua ,ALBASHAR Ahmad ,3,2
mstm2,130688,3/5 13:00,,MORSHEAD Christopher ,DOUFESH Husam ,3,0
mstm2,130688,3/5 13:00,,ELLIS Eugene ,MASALMA Fadi ,3,2
mstm2,130694,3/5 19:30,NEPAL 3:1 MALTA,GOTHE Shiva ,GAMBINA Andrew ,2,3
mstm2,130694,3/5 19:30,,SUWAL Ajay ,BAJADA Daniel ,3,0
mstm2,130694,3/5 19:30,,BAJRACHARYA Purshottam ,BALDACCHINO Edward ,3,0
mstm2,130694,3/5 19:30,,GOTHE Shiva ,BAJADA Daniel ,3,0
mstm2,130696,3/5 19:30,LIBYA 3:2 MADAGASCAR,ABUSHUWASHI Adir ,RASOLOMANANA Rija ,3,0
mstm2,130696,3/5 19:30,,LARIFI Hisham ,ANDRIANJATOVO Jean Christian ,1,3
mstm2,130696,3/5 19:30,,ELHEBSHI Mohamed ,ANDRIAN Jean-Luc ,3,2
mstm2,130696,3/5 19:30,,ABUSHUWASHI Adir ,ANDRIANJATOVO Jean Christian ,2,3
mstm2,130696,3/5 19:30,,LARIFI Hisham ,RASOLOMANANA Rija ,3,2
mstm2,130697,3/5 19:30,SOUTH AFRICA 3:0 BANGLADESH,LINGEVELDT Kurt ,CHOWDHURY Manash ,3,0
mstm2,130697,3/5 19:30,,MATHOLE Terrence ,AHMED Md Javed ,3,0
mstm2,130697,3/5 19:30,,LINGEVELDT Keegan ,TUHIN Mohammad ,3,1
mstm2,130698,4/5 10:00,JAMAICA 3:1 NEPAL,HYATT Michael ,BAJRACHARYA Purshottam ,3,1
mstm2,130698,4/5 10:00,,WATSON Kane ,SUWAL Ajay ,2,3
mstm2,130698,4/5 10:00,,TOMLINSON Simon ,GOTHE Shiva ,3,1
mstm2,130698,4/5 10:00,,HYATT Michael ,SUWAL Ajay ,3,2
mstm2,130699,4/5 10:00,LIBYA 1:3 SOUTH AFRICA,ABUSHUWASHI Adir ,LINGEVELDT Kurt ,0,3
mstm2,130699,4/5 10:00,,LARIFI Hisham ,MATHOLE Terrence ,1,3
mstm2,130699,4/5 10:00,,ELHEBSHI Mohamed ,LINGEVELDT Keegan ,3,0
mstm2,130699,4/5 10:00,,ABUSHUWASHI Adir ,MATHOLE Terrence ,0,3
mstm2,130700,4/5 16:30,JAMAICA 3:2 SOUTH AFRICA,HYATT Michael ,LINGEVELDT Kurt ,3,1
mstm2,130700,4/5 16:30,,WATSON Kane ,MATHOLE Terrence ,1,3
mstm2,130700,4/5 16:30,,TOMLINSON Simon ,LINGEVELDT Keegan ,3,0
mstm2,130700,4/5 16:30,,HYATT Michael ,MATHOLE Terrence ,2,3
mstm2,130700,4/5 16:30,,WATSON Kane ,LINGEVELDT Kurt ,3,2
