项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130591,2/5 10:00,MOLDOVA 2:3 QATAR,TERNA Denis ,ALHAJJAI Waled Nasser ,3,2
mstm2,130591,2/5 10:00,,DUBROVIN Veniamin ,AL-MOHANNADI Ahmad ,0,3
mstm2,130591,2/5 10:00,,CHIRITA Cristian ,AL-NAGGAR Abdulrahman ,3,1
mstm2,130591,2/5 10:00,,TERNA Denis ,AL-MOHANNADI Ahmad ,0,3
mstm2,130591,2/5 10:00,,DUBROVIN Veniamin ,ALHAJJAI Waled Nasser ,2,3
mstm2,130592,2/5 10:00,PAKISTAN 1:3 LUXEMBOURG,QURESHI Asim ,HANSEN Sven ,3,1
mstm2,130592,2/5 10:00,,ABBAS Saleem ,MICHELY Gilles ,1,3
mstm2,130592,2/5 10:00,,MINHAS Faryal ,BAST Mike ,1,3
mstm2,130592,2/5 10:00,,QURESHI Asim ,MICHELY Gilles ,2,3
mstm2,130595,2/5 10:00,WALES 3:1 GUATEMALA,JENKINS Ryan ,GATICA Hector ,3,0
mstm2,130595,2/5 10:00,,MARSDEN Michael ,RAMIREZ Jose Miguel ,0,3
mstm2,130595,2/5 10:00,,JENKINS Stephen ,SOTO Kevin ,3,2
mstm2,130595,2/5 10:00,,JENKINS Ryan ,RAMIREZ Jose Miguel ,3,2
mstm2,130596,2/5 10:00,UNITED ARAB EMIRATES 3:2 KUWAIT,MANSOUR Marawan ,AL-BAHRANI Husain ,2,3
mstm2,130596,2/5 10:00,,LINJAWI Jassem ,AL-HASAN Salem ,3,2
mstm2,130596,2/5 10:00,,ALBALOOSHI Abdulla ,ALANSSARI Basel ,3,1
mstm2,130596,2/5 10:00,,MANSOUR Marawan ,AL-HASAN Salem ,1,3
mstm2,130596,2/5 10:00,,LINJAWI Jassem ,AL-BAHRANI Husain ,3,1
mstm2,130598,2/5 19:30,QATAR 2:3 NEW ZEALAND,AL-MOHANNADI Ahmad ,CORDUE John ,3,1
mstm2,130598,2/5 19:30,,ALHAJJAI Waled Nasser ,LAUGESEN Shane ,3,2
mstm2,130598,2/5 19:30,,SHEMET German ,XIAO Phillip ,2,3
mstm2,130598,2/5 19:30,,AL-MOHANNADI Ahmad ,LAUGESEN Shane ,2,3
mstm2,130598,2/5 19:30,,ALHAJJAI Waled Nasser ,CORDUE John ,1,3
mstm2,130600,2/5 19:30,CYPRUS 3:1 WALES,YIANGOU Marios ,O'CONNELL Daniel ,3,0
mstm2,130600,2/5 19:30,,SERAFIMOV Ognyan ,JENKINS Stephen ,0,3
mstm2,130600,2/5 19:30,,YIANGOU Yiangos ,EDWARDS Conor ,3,0
mstm2,130600,2/5 19:30,,YIANGOU Marios ,JENKINS Stephen ,3,0
mstm2,130601,2/5 19:30,ECUADOR 3:0 UNITED ARAB EMIRATES,MINO Alberto ,MANSOUR Marawan ,3,1
mstm2,130601,2/5 19:30,,COELLO Geovanny ,LINJAWI Jassem ,3,1
mstm2,130601,2/5 19:30,,LOPEZ Leonardo ,ALBALOOSHI Abdulla ,3,0
mstm2,130602,4/5 10:00,MALAYSIA 3:1 NEW ZEALAND,LEONG Chee Feng ,CORDUE John ,1,3
mstm2,130602,4/5 10:00,,HAIQAL Muhamad Ashraf ,XIAO Phillip ,3,2
mstm2,130602,4/5 10:00,,IBRAHIM Muhd Shakirin ,LAUGESEN Shane ,3,0
mstm2,130602,4/5 10:00,,LEONG Chee Feng ,XIAO Phillip ,3,1
mstm2,130603,4/5 10:00,ECUADOR 1:3 CYPRUS,MINO Alberto ,SERAFIMOV Ognyan ,3,0
mstm2,130603,4/5 10:00,,TAPIA Rodrigo ,YIANGOU Marios ,0,3
mstm2,130603,4/5 10:00,,LOPEZ Leonardo ,YIANGOU Yiangos ,0,3
mstm2,130603,4/5 10:00,,MINO Alberto ,YIANGOU Marios ,0,3
