项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130527,2/5 13:00,BOSNIA-HERZEGOVINA 3:1 VIETNAM,DURANSPAHIC Admir ,DOAN Ba Tuan Anh ,3,0
mstm2,130527,2/5 13:00,,ALICIC Armin ,LE Tien Dat ,3,2
mstm2,130527,2/5 13:00,,KONJIC Edin ,NGUYEN Anh Tu ,0,3
mstm2,130527,2/5 13:00,,DURANSPAHIC Admir ,LE Tien Dat ,3,2
mstm2,130528,2/5 13:00,CONGO BRAZZAVILLE 2:3 INDONESIA,SAKA Suraju ,MAULANA Gilang ,3,2
mstm2,130528,2/5 13:00,,IDOWU Saheed ,MARDIYONO Yon ,3,1
mstm2,130528,2/5 13:00,,LIGNANDZI Michel ,HARURI Dahlan ,0,3
mstm2,130528,2/5 13:00,,SAKA Suraju ,MARDIYONO Yon ,0,3
mstm2,130528,2/5 13:00,,IDOWU Saheed ,MAULANA Gilang ,2,3
mstm2,130531,2/5 13:00,THAILAND 1:3 PARAGUAY,WONGSIRI Nikom ,TORANZOS Alejandro ,1,3
mstm2,130531,2/5 13:00,,POUNGSRI Max ,AGUIRRE Marcelo ,0,3
mstm2,130531,2/5 13:00,,CHAITAT Chaisit ,GAVILAN Axel ,3,0
mstm2,130531,2/5 13:00,,WONGSIRI Nikom ,AGUIRRE Marcelo ,1,3
mstm2,130532,2/5 13:00,DOMINICAN REPUBLIC 0:3 AUSTRALIA,VILA BATISTA Juan ,HU Heming ,2,3
mstm2,130532,2/5 13:00,,VILA Isaac ,POWELL David ,0,3
mstm2,130532,2/5 13:00,,GALVEZ Samuel ,TOWNSEND Kane ,2,3
mstm2,130534,3/5 10:00,BOSNIA-HERZEGOVINA 0:3 ISRAEL,DURANSPAHIC Admir ,BEN ARI Omri ,1,3
mstm2,130534,3/5 10:00,,ALICIC Armin ,RABINOVICH Shimon ,0,3
mstm2,130534,3/5 10:00,,KONJIC Edin ,ELENSKY Gregory ,1,3
mstm2,130536,3/5 10:00,PARAGUAY 0:3 BULGARIA,AGUIRRE Marcelo ,GOLOVANOV Stanislav ,1,3
mstm2,130536,3/5 10:00,,TORANZOS Alejandro ,KRASTEV Petyo ,1,3
mstm2,130536,3/5 10:00,,GAVILAN Axel ,ALEXANDROV Teodor ,0,3
mstm2,130537,3/5 10:00,CANADA 3:2 AUSTRALIA,THERIAULT Pierre-Luc ,HU Heming ,3,1
mstm2,130537,3/5 10:00,,HO Andre ,POWELL David ,3,1
mstm2,130537,3/5 10:00,,THERIEN Xavier ,TOWNSEND Kane ,2,3
mstm2,130537,3/5 10:00,,THERIAULT Pierre-Luc ,POWELL David ,0,3
mstm2,130537,3/5 10:00,,HO Andre ,HU Heming ,3,0
mstm2,130538,3/5 16:30,ARGENTINA 3:1 ISRAEL,TEMPERLEY Diego ,ELENSKY Gregory ,3,1
mstm2,130538,3/5 16:30,,GILABERT Rodrigo ,TAUBER Michael ,3,2
mstm2,130538,3/5 16:30,,TITOLO Franco ,BEN ARI Omri ,0,3
mstm2,130538,3/5 16:30,,TEMPERLEY Diego ,TAUBER Michael ,3,1
mstm2,130539,3/5 16:30,CANADA 1:3 BULGARIA,ROUSSEAU-EMOND Vincent ,KRASTEV Petyo ,0,3
mstm2,130539,3/5 16:30,,MORAN Alexander ,ALEXANDROV Teodor ,0,3
mstm2,130539,3/5 16:30,,THERIAULT Pierre-Luc ,GOLOVANOV Stanislav ,3,2
mstm2,130539,3/5 16:30,,ROUSSEAU-EMOND Vincent ,ALEXANDROV Teodor ,1,3
mstm2,130539,3/5 16:30,,MORAN Alexander ,KRASTEV Petyo ,0,0
