项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130495,2/5 19:30,EGYPT 3:0 INDIA,ASSAR Omar ,ACHANTA Sharath Kamal ,3,2
mstm2,130495,2/5 19:30,,LASHIN El-Sayed ,GHOSH Soumyajit ,3,1
mstm2,130495,2/5 19:30,,SALEH Ahmed ,DESAI Harmeet ,3,1
mstm2,130496,2/5 19:30,BELGIUM 0:3 ITALY,NUYTINCK Cedric ,STOYANOV Niagol ,1,3
mstm2,130496,2/5 19:30,,LAMBIET Florent ,BOBOCICA Mihai ,0,3
mstm2,130496,2/5 19:30,,JEAN Lauric ,MUTTI Leonardo ,2,3
mstm2,130499,2/5 19:30,TURKEY 0:3 NIGERIA,VANG Bora ,TORIOLA Segun ,1,3
mstm2,130499,2/5 19:30,,GUNDUZ Ibrahim ,ARUNA Quadri ,0,3
mstm2,130499,2/5 19:30,,MENGE Gencay ,ONAOLAPO Ojo ,2,3
mstm2,130500,2/5 19:30,NORWAY 0:3 SLOVAK REPUBLIC,RONNEBERG Espen ,KEINATH Thomas ,1,3
mstm2,130500,2/5 19:30,,JORGENSEN Eskild ,PISTEJ Lubomir ,1,3
mstm2,130500,2/5 19:30,,RONNEBERG Lars ,SEREDA Peter ,1,3
mstm2,130502,3/5 13:00,CZECH REPUBLIC 3:1 EGYPT,PROKOPCOV Dmitrij ,LASHIN El-Sayed ,3,2
mstm2,130502,3/5 13:00,,KONECNY Tomas ,ASSAR Omar ,0,3
mstm2,130502,3/5 13:00,,JANCARIK Lubomir ,SALEH Ahmed ,3,2
mstm2,130502,3/5 13:00,,PROKOPCOV Dmitrij ,ASSAR Omar ,3,2
mstm2,130504,3/5 13:00,NIGERIA 2:3 ENGLAND,ARUNA Quadri ,DRINKHALL Paul ,3,1
mstm2,130504,3/5 13:00,,TORIOLA Segun ,PITCHFORD Liam ,3,2
mstm2,130504,3/5 13:00,,ONAOLAPO Ojo ,REED Daniel ,0,3
mstm2,130504,3/5 13:00,,ARUNA Quadri ,PITCHFORD Liam ,1,3
mstm2,130504,3/5 13:00,,TORIOLA Segun ,DRINKHALL Paul ,1,3
mstm2,130505,3/5 13:00,IRAN 1:3 SLOVAK REPUBLIC,ALAMIYAN Noshad ,KEINATH Thomas ,1,3
mstm2,130505,3/5 13:00,,ALAMIAN Nima ,PISTEJ Lubomir ,2,3
mstm2,130505,3/5 13:00,,NOROOZI Afshin ,SEREDA Peter ,3,0
mstm2,130505,3/5 13:00,,ALAMIYAN Noshad ,PISTEJ Lubomir ,0,3
mstm2,130506,3/5 19:30,ITALY 3:0 CZECH REPUBLIC,BOBOCICA Mihai ,KONECNY Tomas ,3,1
mstm2,130506,3/5 19:30,,STOYANOV Niagol ,PROKOPCOV Dmitrij ,3,1
mstm2,130506,3/5 19:30,,MUTTI Leonardo ,SIRUCEK Pavel ,3,2
mstm2,130507,3/5 19:30,ENGLAND 3:2 SLOVAK REPUBLIC,PITCHFORD Liam ,KEINATH Thomas ,3,0
mstm2,130507,3/5 19:30,,DRINKHALL Paul ,PISTEJ Lubomir ,2,3
mstm2,130507,3/5 19:30,,REED Daniel ,SEREDA Peter ,2,3
mstm2,130507,3/5 19:30,,PITCHFORD Liam ,PISTEJ Lubomir ,3,0
mstm2,130507,3/5 19:30,,DRINKHALL Paul ,KEINATH Thomas ,3,0
mstm2,130508,4/5 16:30,ENGLAND 3:1 ITALY,PITCHFORD Liam ,MUTTI Leonardo ,3,1
mstm2,130508,4/5 16:30,,DRINKHALL Paul ,RECH DALDOSSO Marco ,3,2
mstm2,130508,4/5 16:30,,WALKER Samuel ,STOYANOV Niagol ,1,3
mstm2,130508,4/5 16:30,,PITCHFORD Liam ,RECH DALDOSSO Marco ,3,1
