项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130559,2/5 16:30,LATVIA 0:3 KAZAKHSTAN,KARTUZOVS Olegs ,ZHOLUDEV Denis ,2,3
mstm2,130559,2/5 16:30,,REINHOLDS Arturs ,GERASSIMENKO Kirill ,0,3
mstm2,130559,2/5 16:30,,MASLOVS Leonids ,BABASSOV Asset ,1,3
mstm2,130560,2/5 16:30,SCOTLAND 3:1 FINLAND,RUMGAY Gavin ,OLAH Benedek ,3,1
mstm2,130560,2/5 16:30,,HOWIESON Craig ,KANTOLA Roope ,3,1
mstm2,130560,2/5 16:30,,DOHERTY Sean ,SOINE Samuli ,2,3
mstm2,130560,2/5 16:30,,RUMGAY Gavin ,KANTOLA Roope ,3,2
mstm2,130563,2/5 16:30,PUERTO RICO 3:1 IRELAND,AFANADOR Brian ,MAGUIRE Gavin ,3,0
mstm2,130563,2/5 16:30,,GONZALEZ Daniel ,MCCREERY Paul ,3,0
mstm2,130563,2/5 16:30,,BERRIOS Hector ,ROBINSON Ashley ,2,3
mstm2,130563,2/5 16:30,,AFANADOR Brian ,MCCREERY Paul ,3,1
mstm2,130564,2/5 16:30,LITHUANIA 1:3 SAUDI ARABIA,MIKUTIS Tomas ,AL-JADAI Naif ,2,3
mstm2,130564,2/5 16:30,,DOMEIKA Arnoldas ,AL-ABBAD Abdulaziz ,0,3
mstm2,130564,2/5 16:30,,UDRA Alfredas ,ALKHADRAWI Ali ,3,2
mstm2,130564,2/5 16:30,,MIKUTIS Tomas ,AL-ABBAD Abdulaziz ,0,3
mstm2,130566,3/5 10:00,ESTONIA 2:3 KAZAKHSTAN,SMIRNOV Aleksandr ,KELBUGANOV Timur ,3,0
mstm2,130566,3/5 10:00,,VAINULA Vallot ,GERASSIMENKO Kirill ,0,3
mstm2,130566,3/5 10:00,,LUSIN Aleksandr ,ZHOLUDEV Denis ,3,0
mstm2,130566,3/5 10:00,,SMIRNOV Aleksandr ,GERASSIMENKO Kirill ,2,3
mstm2,130566,3/5 10:00,,VAINULA Vallot ,KELBUGANOV Timur ,2,3
mstm2,130568,3/5 10:00,PUERTO RICO 3:1 SWITZERLAND,AFANADOR Brian ,WEBER Lionel ,3,1
mstm2,130568,3/5 10:00,,GONZALEZ Daniel ,MOHLER Nicola ,3,0
mstm2,130568,3/5 10:00,,BERRIOS Hector ,CHAMPOD Nicolas ,0,3
mstm2,130568,3/5 10:00,,AFANADOR Brian ,MOHLER Nicola ,3,1
mstm2,130569,3/5 10:00,SAUDI ARABIA 3:2 USA,AL-ABBAD Abdulaziz ,BUTLER Jimmy ,3,1
mstm2,130569,3/5 10:00,,AL-JADAI Naif ,WANG Timothy ,0,3
mstm2,130569,3/5 10:00,,ALKHADRAWI Ali ,HUGH Adam ,0,3
mstm2,130569,3/5 10:00,,AL-ABBAD Abdulaziz ,WANG Timothy ,3,0
mstm2,130569,3/5 10:00,,AL-JADAI Naif ,BUTLER Jimmy ,3,2
mstm2,130570,3/5 19:30,KAZAKHSTAN 2:3 MEXICO,GERASSIMENKO Kirill ,URIBE Salvador ,3,0
mstm2,130570,3/5 19:30,,ZHOLUDEV Denis ,MADRID Marcos ,0,3
mstm2,130570,3/5 19:30,,KELBUGANOV Timur ,VILLA Ricardo ,3,2
mstm2,130570,3/5 19:30,,GERASSIMENKO Kirill ,MADRID Marcos ,1,3
mstm2,130570,3/5 19:30,,ZHOLUDEV Denis ,URIBE Salvador ,2,3
mstm2,130571,3/5 19:30,PUERTO RICO 3:1 SAUDI ARABIA,AFANADOR Brian ,AL-JADAI Naif ,3,0
mstm2,130571,3/5 19:30,,GONZALEZ Daniel ,AL-ABBAD Abdulaziz ,3,1
mstm2,130571,3/5 19:30,,BERRIOS Hector ,ALKHADRAWI Ali ,2,3
mstm2,130571,3/5 19:30,,AFANADOR Brian ,AL-ABBAD Abdulaziz ,3,2
mstm2,130572,4/5 16:30,MEXICO 2:3 PUERTO RICO,MADRID Marcos ,AFANADOR Brian ,3,2
mstm2,130572,4/5 16:30,,URIBE Salvador ,GONZALEZ Daniel ,0,3
mstm2,130572,4/5 16:30,,VILLA Ricardo ,BERRIOS Hector ,3,2
mstm2,130572,4/5 16:30,,MADRID Marcos ,GONZALEZ Daniel ,2,3
mstm2,130572,4/5 16:30,,URIBE Salvador ,AFANADOR Brian ,1,3
