Begin, Group 1 ,比赛用名,1,2,3
,, DESAI Harmeet ,,4~0,1~4
,, NAYRE Glendo ,0~4,,1~4
,, NG Pak Nam ,4~1,4~1,


, Group 2 ,比赛用名,1,2,3
,, SZOCS Hunor ,,4~0,4~0
,, SERONIO Isaias ,0~4,,4~0
,, CHO Junhee ,0~4,0~4,


, Group 3 ,比赛用名,1,2,3
,, DEVOS Robin ,,4~0,4~2
,, VALLE Rodel ,0~4,,1~4
,, BRETON Arthur ,2~4,4~1,


, Group 4 ,比赛用名,1,2,3
,, LEE Chia~Sheng ,,4~0,4~0
,, PRADELLE Quentin ,0~4,,4~1
,, FLORENDO Fernando ,0~4,1~4,


, Group 5 ,比赛用名,1,2,3
,, RYUZAKI Tonin ,,4~0,4~0
,, SON Suk Hyun ,0~4,,4~0
,, TUZON Ray Chester ,0~4,0~4,


, Group 6 ,比赛用名,1,2,3
,, OGATA Ryotaro ,,4~0,4~0
,, KIM Wancheol ,0~4,,4~0
,, CAWED Jose ,0~4,0~4,


, Group 7 ,比赛用名,1,2,3
,, KIZUKURI Yuto ,,1~4,4~0
,, CHEN Chun~Hsiang ,4~1,,4~0
,, PUENTESPINA Paul ,0~4,0~4,


, Group 8 ,比赛用名,1,2,3
,, YANG Tzu~Yi ,,1~4,4~0
,, HIRANO Kosei ,4~1,,4~2
,, JACOLO Ryan Rodney ,0~4,2~4,


, Group 9 ,比赛用名,1,2,3
,, LAM Siu Hang ,,4~1,4~0
,, MATSUYAMA Yuki ,1~4,,4~0
,, LEDESMA Walden ,0~4,0~4,


, Group 10 ,比赛用名,1,2,3
,, KORIYAMA Hokuto ,,4~0,4~3
,, WANG LI Chung~Yi ,0~4,,1~4
,, GONZALES Richard ,3~4,4~1,


, Group 11 ,比赛用名,1,2,3
,, LI Hon Ming ,,1~4,4~0
,, KAKITSUKA Masato ,4~1,,2~4
,, LEDESMA Ting ,0~4,4~2,


项目,轮次,时间,运动员1,运动员2,得分1,得分2
Men's Singles , 32, 15:40 - 29/5/2015 , JUNG Youngsik , WANG LI Chung-Yi,4, 2
Men's Singles , 32, 15:40 - 29/5/2015 , LI Hon Ming , HIRANO Kosei,1, 4
Men's Singles , 32, 15:40 - 29/5/2015 , CHEN Chun-Hsiang , SON Suk Hyun,4, 2
Men's Singles , 32, 15:40 - 29/5/2015 , KIM Wancheol , TAZOE Kenta,0, 4
Men's Singles , 32, 15:40 - 29/5/2015 , WU Chih-Chi , PRADELLE Quentin,4, 1
Men's Singles , 32, 15:40 - 29/5/2015 , DESAI Harmeet , OGATA Ryotaro,4, 2
Men's Singles , 32, 15:40 - 29/5/2015 , DEVOS Robin , KORIYAMA Hokuto,3, 4
Men's Singles , 32, 15:40 - 29/5/2015 , MATSUYAMA Yuki , GHOSH Soumyajit,0, 4
Men's Singles , 32, 16:30 - 29/5/2015 , JIANG Tianyi , GONZALES Richard,4, 0
Men's Singles , 32, 16:30 - 29/5/2015 , KAKITSUKA Masato , LEE Chia-Sheng,2, 4
Men's Singles , 32, 16:30 - 29/5/2015 , NG Pak Nam , BRETON Arthur,4, 0
Men's Singles , 32, 16:30 - 29/5/2015 , KIZUKURI Yuto , NUYTINCK Cedric,3, 4
Men's Singles , 32, 16:30 - 29/5/2015 , LIAO Cheng-Ting , SERONIO Isaias,4, 0
Men's Singles , 32, 16:30 - 29/5/2015 , LAM Siu Hang , SZOCS Hunor,1, 4
Men's Singles , 32, 16:30 - 29/5/2015 , RYUZAKI Tonin , YANG Tzu-Yi,2, 4
Men's Singles , 32, 16:30 - 29/5/2015 , CAWED Jose , OSHIMA Yuya,0, 4
Men's Singles , 16, 19:20 - 29/5/2015 , JUNG Youngsik , HIRANO Kosei,4, 1
Men's Singles , 16, 19:20 - 29/5/2015 , CHEN Chun-Hsiang , TAZOE Kenta,0, 4
Men's Singles , 16, 19:20 - 29/5/2015 , WU Chih-Chi , DESAI Harmeet,4, 1
Men's Singles , 16, 19:20 - 29/5/2015 , KORIYAMA Hokuto , GHOSH Soumyajit,4, 2
Men's Singles , 16, 19:20 - 29/5/2015 , JIANG Tianyi , LEE Chia-Sheng,2, 4
Men's Singles , 16, 19:20 - 29/5/2015 , NG Pak Nam , NUYTINCK Cedric,2, 4
Men's Singles , 16, 19:20 - 29/5/2015 , LIAO Cheng-Ting , SZOCS Hunor,4, 3
Men's Singles , 16, 19:20 - 29/5/2015 , YANG Tzu-Yi , OSHIMA Yuya,0, 4
Men's Singles ,Quarter Final, 19:10 - 30/5/2015 , JUNG Youngsik , TAZOE Kenta,4, 2
Men's Singles ,Quarter Final, 19:10 - 30/5/2015 , WU Chih-Chi , KORIYAMA Hokuto,4, 3
Men's Singles ,Quarter Final, 20:00 - 30/5/2015 , LEE Chia-Sheng , NUYTINCK Cedric,4, 1
Men's Singles ,Quarter Final, 20:00 - 30/5/2015 , LIAO Cheng-Ting , OSHIMA Yuya,1, 4
Men's Singles ,Semi Final, 11:30 - 31/5/2015 , JUNG Youngsik , WU Chih-Chi,4, 0
Men's Singles ,Semi Final, 12:15 - 31/5/2015 , LEE Chia-Sheng , OSHIMA Yuya,1, 4
Men's Singles ,Final, 14:45 - 31/5/2015 , JUNG Youngsik , OSHIMA Yuya,0, 4
