项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
wstm2,130815,2/5 16:30,SLOVENIA 3:0 BULGARIA,TOMAZINI Jana ,KAROVA Anelia ,3,2
wstm2,130815,2/5 16:30,,FAJMUT Manca ,REMZI Sibel ^^ ,3,2
wstm2,130815,2/5 16:30,,LUDVIK Jana ,ANGELOVA Ivanka ,3,0
wstm2,130816,2/5 16:30,BRAZIL 3:2 EGYPT,GUI Lin ,EL-DAWLATLY Nadeen ,3,0
wstm2,130816,2/5 16:30,,KUMAHARA Caroline ,MESHREF Dina ,0,3
wstm2,130816,2/5 16:30,,SILVA Ligia ,SHOUMAN Fagr ,3,0
wstm2,130816,2/5 16:30,,GUI Lin ,MESHREF Dina ,0,3
wstm2,130816,2/5 16:30,,KUMAHARA Caroline ,EL-DAWLATLY Nadeen ,3,0
wstm2,130819,2/5 16:30,MALAYSIA 0:3 CANADA,BEH Lee Wei ,LUO Anqi ,2,3
wstm2,130819,2/5 16:30,,HO Ying ,ZHANG Mo ,0,3
wstm2,130819,2/5 16:30,,LEE Rou You ,LIAW Michelle ,1,3
wstm2,130820,2/5 16:30,PORTUGAL 1:3 ENGLAND,NEVES Ana ,SIBLEY Kelly ,1,3
wstm2,130820,2/5 16:30,,FINS Rita ,DRINKHALL Joanna ,0,3
wstm2,130820,2/5 16:30,,OLIVEIRA Leila ,HO Tin-Tin ,3,2
wstm2,130820,2/5 16:30,,NEVES Ana ,DRINKHALL Joanna ,0,3
wstm2,130822,3/5 13:00,THAILAND 3:1 SLOVENIA,KOMWONG Nanthana ,TOMAZINI Jana ,3,1
wstm2,130822,3/5 13:00,,KHETKHUAN Tamolwan ,FAJMUT Manca ,3,0
wstm2,130822,3/5 13:00,,PANNAK Piyaporn ,LUDVIK Jana ,1,3
wstm2,130822,3/5 13:00,,KOMWONG Nanthana ,FAJMUT Manca ,3,1
wstm2,130824,3/5 13:00,SWEDEN 3:1 CANADA,EKHOLM Matilda ,LUO Anqi ,3,0
wstm2,130824,3/5 13:00,,MOSKOVITS Daniela ,ZHANG Mo ,0,3
wstm2,130824,3/5 13:00,,BERGSTROM Linda ,LIAW Michelle ,3,1
wstm2,130824,3/5 13:00,,EKHOLM Matilda ,ZHANG Mo ,3,2
wstm2,130825,3/5 13:00,ENGLAND 1:3 LITHUANIA,DRINKHALL Joanna ,VENSLAVICIUTE Ieva ,3,0
wstm2,130825,3/5 13:00,,HO Tin-Tin ,PASKAUSKIENE Ruta ,0,3
wstm2,130825,3/5 13:00,,SIBLEY Kelly ,STUCKYTE Egle ,2,3
wstm2,130825,3/5 13:00,,DRINKHALL Joanna ,PASKAUSKIENE Ruta ,0,3
wstm2,130826,3/5 19:30,THAILAND 2:3 BRAZIL,KOMWONG Nanthana ,KUMAHARA Caroline ,3,1
wstm2,130826,3/5 19:30,,KHETKHUAN Tamolwan ,GUI Lin ,1,3
wstm2,130826,3/5 19:30,,RATTANAVONGSA Rattanaporn ,SILVA Ligia ,1,3
wstm2,130826,3/5 19:30,,KOMWONG Nanthana ,GUI Lin ,3,1
wstm2,130826,3/5 19:30,,KHETKHUAN Tamolwan ,KUMAHARA Caroline ,2,3
wstm2,130827,3/5 19:30,LITHUANIA 2:3 SWEDEN,PASKAUSKIENE Ruta ,MOSKOVITS Daniela ,3,0
wstm2,130827,3/5 19:30,,STUCKYTE Egle ,EKHOLM Matilda ,1,3
wstm2,130827,3/5 19:30,,VENSLAVICIUTE Ieva ,BERGSTROM Linda ,2,3
wstm2,130827,3/5 19:30,,PASKAUSKIENE Ruta ,EKHOLM Matilda ,3,1
wstm2,130827,3/5 19:30,,STUCKYTE Egle ,MOSKOVITS Daniela ,2,3
wstm2,130828,4/5 13:00,BRAZIL 3:0 SWEDEN,GUI Lin ,BERGSTROM Linda ,3,0
wstm2,130828,4/5 13:00,,YAMADA Jessica ,JONSSON Jennifer ,3,1
wstm2,130828,4/5 13:00,,KUMAHARA Caroline ,EKHOLM Matilda ,3,2
