项目,轮次,时间,运动员1,运动员2,得分1,得分2
Women's Singles , 64, 11:00 - 19/1/2012 , DING Ning , MOLNAR Cornelia,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , SOLJA Amelie ^ , KANG Misoon,4, 1
Women's Singles , 64, 11:00 - 19/1/2012 , ERDELJI Anamaria , GAPONOVA Ganna,2, 4
Women's Singles , 64, 11:00 - 19/1/2012 , PARTYKA Natalia , SAMARA Elizabeta,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , LI Qian , TRIFONOVA Polina ^,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , KIM Minhee (YOB=1991) , LEE I-Chen,1, 4
Women's Singles , 64, 11:00 - 19/1/2012 , HU Melek , KIM Mingyung,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , FAN Ying , MATELOVA Hana,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , BOROS Tamara , LI Xue ^,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , CHENG I-Ching , WINTER Sabine,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , MONTEIRO DODEAN Daniela , BALAZOVA Barbora,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , SKOV Mie , TIMINA Elena,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , SCHALL Elke , SZCZERKOWSKA Magdalena,2, 4
Women's Singles , 64, 12:30 - 19/1/2012 , LIU Shiwen , CECHOVA Dana,4, 0
Women's Singles , 64, 12:30 - 19/1/2012 , KUCEROVA Aneta , LIU Jia,3, 4
Women's Singles , 64, 12:30 - 19/1/2012 , BARTHEL Zhenqi , LI Bin,4, 0
Women's Singles , 64, 12:30 - 19/1/2012 , GRZYBOWSKA Katarzyna , JEON Jihee ^,1, 4
Women's Singles , 64, 12:30 - 19/1/2012 , SEO Hyowon , KERTAI Rita,4, 1
Women's Singles , 64, 12:30 - 19/1/2012 , CREEMERS Linda , STRBIKOVA Renata,4, 2
Women's Singles , 64, 12:30 - 19/1/2012 , POTA Georgina , PENKAVOVA Katerina,4, 1
Women's Singles , 64, 12:30 - 19/1/2012 , MIKHAILOVA Polina , SUN Beibei,3, 4
Women's Singles , 64, 13:15 - 19/1/2012 , LI Jiawei , ODOROVA Eva,4, 2
Women's Singles , 64, 13:15 - 19/1/2012 , XIAN Yifang , LI Qiangbing,3, 4
Women's Singles , 64, 13:15 - 19/1/2012 , EKHOLM Matilda , DRINKHALL Joanna,4, 2
Women's Singles , 64, 13:15 - 19/1/2012 , HUANG Yi-Hua , SIBLEY Kelly,4, 0
Women's Singles , 64, 13:15 - 19/1/2012 , DUBKOVA Elena , ZHU Fang,4, 3
Women's Singles , 64, 13:15 - 19/1/2012 , LOVAS Petra , RAMIREZ Sara,4, 1
Women's Singles , 64, 13:15 - 19/1/2012 , EERLAND Britt , LI Xiaoxia,1, 4
Women's Singles , 32, 18:00 - 19/1/2012 , DING Ning , SOLJA Amelie ^,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , GAPONOVA Ganna , PARTYKA Natalia,1, 4
Women's Singles , 32, 18:00 - 19/1/2012 , LI Qian , LEE I-Chen,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , FAN Ying , BOROS Tamara,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , CHENG I-Ching , PARK Miyoung,2, 4
Women's Singles , 32, 18:00 - 19/1/2012 , MONTEIRO DODEAN Daniela , SKOV Mie,4, 3
Women's Singles , 32, 18:00 - 19/1/2012 , SZCZERKOWSKA Magdalena , GUO Yan (1982),1, 4
Women's Singles , 32, 18:45 - 19/1/2012 , LIU Shiwen , LIU Jia,4, 1
Women's Singles , 32, 18:45 - 19/1/2012 , SEO Hyowon , CREEMERS Linda,4, 2
Women's Singles , 32, 18:45 - 19/1/2012 , POTA Georgina , SUN Beibei,4, 3
Women's Singles , 32, 18:45 - 19/1/2012 , LI Jiawei , LI Qiangbing,4, 3
Women's Singles , 32, 18:45 - 19/1/2012 , EKHOLM Matilda , LEE Eunhee,4, 2
Women's Singles , 32, 18:45 - 19/1/2012 , HUANG Yi-Hua , DUBKOVA Elena,4, 2
Women's Singles , 16, 13:00 - 20/1/2012 , DING Ning , PARTYKA Natalia,4, 0
Women's Singles , 16, 13:00 - 20/1/2012 , LI Qian , WU Yang,2, 4
Women's Singles , 16, 13:00 - 20/1/2012 , FAN Ying , PARK Miyoung,4, 0
Women's Singles , 16, 13:45 - 20/1/2012 , LIU Shiwen , BARTHEL Zhenqi,4, 0
Women's Singles , 16, 13:45 - 20/1/2012 , SEO Hyowon , POTA Georgina,4, 1
Women's Singles , 16, 13:45 - 20/1/2012 , LI Jiawei , EKHOLM Matilda,4, 3
Women's Singles ,Quarter Final, 18:00 - 20/1/2012 , DING Ning , WU Yang,1, 4
Women's Singles ,Quarter Final, 18:45 - 20/1/2012 , LIU Shiwen , SEO Hyowon,4, 1
Women's Singles ,Semi Final, 11:15 - 21/1/2012 , LIU Shiwen , LI Xiaoxia,4, 1
Women's Singles ,Final, 16:00 - 21/1/2012 , GUO Yan (1982) , LIU Shiwen,2, 4
