项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130431,2/5 10:00,AUSTRIA 3:1 GREECE,GARDOS Robert ,KREANGA Kalinikos ,3,1
mstm2,130431,2/5 10:00,,HABESOHN Daniel ,PAPAGEORGIOU Konstantinos ,1,3
mstm2,130431,2/5 10:00,,FEGERL Stefan ,RINIOTIS Anastasios ,3,0
mstm2,130431,2/5 10:00,,GARDOS Robert ,PAPAGEORGIOU Konstantinos ,3,0
mstm2,130432,2/5 10:00,CROATIA 1:3 CHINESE TAIPEI,GACINA Andrej ,CHEN Chien-An ,3,2
mstm2,130432,2/5 10:00,,KOLAREK Tomislav ,CHUANG Chih-Yuan ,2,3
mstm2,130432,2/5 10:00,,TAN Ruiwu ,HUANG Sheng-Sheng ,1,3
mstm2,130432,2/5 10:00,,GACINA Andrej ,CHUANG Chih-Yuan ,0,3
mstm2,130435,2/5 10:00,POLAND 1:3 PORTUGAL,WANG Zengyi ,APOLONIA Tiago ,3,0
mstm2,130435,2/5 10:00,,GORAK Daniel ,FREITAS Marcos ,0,3
mstm2,130435,2/5 10:00,,FLORAS Robert ,MONTEIRO Joao ,0,3
mstm2,130435,2/5 10:00,,WANG Zengyi ,FREITAS Marcos ,1,3
mstm2,130436,2/5 16:30,SINGAPORE 3:1 SWEDEN,GAO Ning ,KARLSSON Kristian ,3,2
mstm2,130436,2/5 16:30,,YANG Zi ,LUNDQVIST Jens ,1,3
mstm2,130436,2/5 16:30,,CHEW Zhe Yu Clarence ,GERELL Par ,3,0
mstm2,130436,2/5 16:30,,GAO Ning ,LUNDQVIST Jens ,3,0
mstm2,130438,2/5 19:30,CHINA 3:0 AUSTRIA,MA Long ,HABESOHN Daniel ,3,0
mstm2,130438,2/5 19:30,,ZHANG Jike ,GARDOS Robert ,3,2
mstm2,130438,2/5 19:30,,XU Xin ,FEGERL Stefan ,3,0
mstm2,130440,2/5 19:30,PORTUGAL 0:3 JAPAN,FREITAS Marcos ,NIWA Koki ,0,3
mstm2,130440,2/5 19:30,,APOLONIA Tiago ,MIZUTANI Jun ,0,3
mstm2,130440,2/5 19:30,,MONTEIRO Joao ,MATSUDAIRA Kenta ,1,3
mstm2,130441,3/5 19:00,GERMANY 3:0 SINGAPORE,OVTCHAROV Dimitrij ,CHEW Zhe Yu Clarence ,3,0
mstm2,130441,3/5 19:00,,BOLL Timo ,GAO Ning ,3,0
mstm2,130441,3/5 19:00,,FRANZISKA Patrick ,PANG Xue Jie ,3,1
mstm2,130442,4/5 10:00,CHINESE TAIPEI 0:3 CHINA,CHEN Chien-An ,XU Xin ,0,3
mstm2,130442,4/5 10:00,,CHUANG Chih-Yuan ,MA Long ,0,3
mstm2,130442,4/5 10:00,,HUANG Sheng-Sheng ,ZHANG Jike ,1,3
mstm2,130443,4/5 16:30,GERMANY 3:1 JAPAN,BOLL Timo ,NIWA Koki ,3,1
mstm2,130443,4/5 16:30,,OVTCHAROV Dimitrij ,MIZUTANI Jun ,2,3
mstm2,130443,4/5 16:30,,FRANZISKA Patrick ,MATSUDAIRA Kenta ,3,2
mstm2,130443,4/5 16:30,,BOLL Timo ,MIZUTANI Jun ,3,0
mstm2,130444,5/5 16:30,CHINA 3:1 GERMANY,MA Long ,BOLL Timo ,3,0
mstm2,130444,5/5 16:30,,ZHANG Jike ,OVTCHAROV Dimitrij ,0,3
mstm2,130444,5/5 16:30,,XU Xin ,FRANZISKA Patrick ,3,0
mstm2,130444,5/5 16:30,,MA Long ,OVTCHAROV Dimitrij ,3,0
