项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130728,3/5 19:30,NAMIBIA 0:3 GUERNSEY C.I.,TAIT Fabian ,ROBILLIARD Liam ,0,3
mstm2,130728,3/5 19:30,,FLEIDL Heiko ,STACEY Lawrence ,0,3
mstm2,130728,3/5 19:30,,STRAUSS Darren ,STACEY Joshua ,0,3
mstm2,130730,4/5 10:00,MALDIVES 3:1 BOTSWANA,NASEEM Mohamed ,MATLHATSI Thobo ,0,3
mstm2,130730,4/5 10:00,,ZAHIR Mohammad ,KGATLAMPANE Joseph ,3,1
mstm2,130730,4/5 10:00,,MA AAD Ahmed ,MODISATHEBE Tshepho ,3,2
mstm2,130730,4/5 10:00,,NASEEM Mohamed ,KGATLAMPANE Joseph ,3,0
mstm2,130731,4/5 10:00,GUERNSEY C.I. 1:3 SEYCHELLES,STACEY Lawrence ,CREA Mick ,2,3
mstm2,130731,4/5 10:00,,STACEY Joshua ,ESTHER Nicholas ,2,3
mstm2,130731,4/5 10:00,,ROBILLIARD Liam ,MOUSBE Byorn ,3,1
mstm2,130731,4/5 10:00,,STACEY Lawrence ,ESTHER Nicholas ,1,3
