项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
wstm2,130847,2/5 10:00,NIGERIA 3:0 PERU,EDEM Offiong ,ORTIZ Maria ,3,0
wstm2,130847,2/5 10:00,,OSHONAIKE Olufunke ,MORI Angela ,3,2
wstm2,130847,2/5 10:00,,AKPAN Cecilia ,GUZMAN Andrea ,3,0
wstm2,130848,2/5 10:00,BOSNIA-HERZEGOVINA 0:3 ISRAEL,HADZIAHMETOVIC Emina ,KRAVCHENKO Marina ,2,3
wstm2,130848,2/5 10:00,,ANTONIC Miljana ,TROSMAN Nicole ,1,3
wstm2,130848,2/5 10:00,,BUSATLIC Belma ,GELMAN Shelli ,1,3
wstm2,130851,2/5 10:00,ITALY 3:1 UZBEKISTAN,VIVARELLI Debora ,KIM Olga ,3,0
wstm2,130851,2/5 10:00,,COLANTONI Chiara ,GUFRANOVA Rimma ,2,3
wstm2,130851,2/5 10:00,,RIDOLFI Lisa ,IBRAGIMOVA Aynur ,3,0
wstm2,130851,2/5 10:00,,VIVARELLI Debora ,GUFRANOVA Rimma ,3,0
wstm2,130852,2/5 10:00,PUERTO RICO 3:1 COLOMBIA,DIAZ Adriana ,MEDINA Paula ,0,3
wstm2,130852,2/5 10:00,,CORDERO Carelyn ,RUANO Lady ,3,2
wstm2,130852,2/5 10:00,,DIAZ Melanie ,TELLEZ Cory ,3,2
wstm2,130852,2/5 10:00,,DIAZ Adriana ,RUANO Lady ,3,1
wstm2,130854,3/5 10:00,TURKEY 1:3 NIGERIA,GUNGOR Gokce Nur ,AKPAN Cecilia ,0,3
wstm2,130854,3/5 10:00,,KARAHAN Ipek ,EDEM Offiong ,0,3
wstm2,130854,3/5 10:00,,SAHIN Sanem ,OSHONAIKE Olufunke ,3,1
wstm2,130854,3/5 10:00,,GUNGOR Gokce Nur ,EDEM Offiong ,1,3
wstm2,130856,3/5 10:00,ITALY 3:2 WALES,VIVARELLI Debora ,CAREY Charlotte ,3,1
wstm2,130856,3/5 10:00,,COLANTONI Chiara ,OWEN Naomi ,0,3
wstm2,130856,3/5 10:00,,RIDOLFI Lisa ,PHILLIPS Megan ,3,1
wstm2,130856,3/5 10:00,,VIVARELLI Debora ,OWEN Naomi ,1,3
wstm2,130856,3/5 10:00,,COLANTONI Chiara ,CAREY Charlotte ,3,1
wstm2,130857,3/5 10:00,PUERTO RICO 0:3 SWITZERLAND,CORDERO Carelyn ,ASCHWANDEN Rahel ,2,3
wstm2,130857,3/5 10:00,,DIAZ Melanie ,MORET Rachel ,0,3
wstm2,130857,3/5 10:00,,RIOS Daniely ,REUST Celine ,2,3
wstm2,130858,3/5 16:30,ISRAEL 2:3 NIGERIA,TROSMAN Nicole ,OSHONAIKE Olufunke ,3,0
wstm2,130858,3/5 16:30,,SHOIFER Neli ,EDEM Offiong ,1,3
wstm2,130858,3/5 16:30,,GELMAN Shelli ,AKPAN Cecilia ,2,3
wstm2,130858,3/5 16:30,,TROSMAN Nicole ,EDEM Offiong ,3,1
wstm2,130858,3/5 16:30,,SHOIFER Neli ,OSHONAIKE Olufunke ,1,3
wstm2,130859,3/5 16:30,ITALY 2:3 SWITZERLAND,VIVARELLI Debora ,ASCHWANDEN Rahel ,3,1
wstm2,130859,3/5 16:30,,RIDOLFI Lisa ,MORET Rachel ,0,3
wstm2,130859,3/5 16:30,,COLANTONI Chiara ,REUST Celine ,3,1
wstm2,130859,3/5 16:30,,VIVARELLI Debora ,MORET Rachel ,1,3
wstm2,130859,3/5 16:30,,RIDOLFI Lisa ,ASCHWANDEN Rahel ,0,3
