项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Men's Doubles , 16, 11:45 - 29/5/2015 , KIM Wancheol, SON Suk Hyun , OGATA Ryotaro, RYUZAKI Tonin ,0, 3
Men's Doubles , 16, 11:45 - 29/5/2015 , KIZUKURI Yuto, MATSUYAMA Yuki , NAYRE Glendo, SERONIO Isaias ,3, 0
Men's Doubles , 16, 11:45 - 29/5/2015 , LAM Siu Hang, LI Hon Ming , GONZALES Richard, VALLE Rodel ,3, 2
Men's Doubles , 16, 11:45 - 29/5/2015 , KORIYAMA Hokuto, TAZOE Kenta , WU Chih-Chi, YANG Tzu-Yi ,3, 0
Men's Doubles , 16, 11:45 - 29/5/2015 , CHEN Chun-Hsiang, WANG LI Chung-Yi , JIANG Tianyi, NG Pak Nam ,1, 3
Men's Doubles ,Quarter Final, 20:45 - 29/5/2015 , DEVOS Robin, NUYTINCK Cedric , OGATA Ryotaro, RYUZAKI Tonin ,3, 0
Men's Doubles ,Quarter Final, 20:45 - 29/5/2015 , KIZUKURI Yuto, MATSUYAMA Yuki , LEE Chia-Sheng, LIAO Cheng-Ting ,3, 0
Men's Doubles ,Quarter Final, 20:45 - 29/5/2015 , LAM Siu Hang, LI Hon Ming , KORIYAMA Hokuto, TAZOE Kenta ,0, 3
Men's Doubles ,Quarter Final, 20:45 - 29/5/2015 , JIANG Tianyi, NG Pak Nam , DESAI Harmeet, GHOSH Soumyajit ,2, 3
Men's Doubles ,Semi Final, 11:45 - 30/5/2015 , DEVOS Robin, NUYTINCK Cedric , KIZUKURI Yuto, MATSUYAMA Yuki ,3, 1
Men's Doubles ,Semi Final, 11:45 - 30/5/2015 , KORIYAMA Hokuto, TAZOE Kenta , DESAI Harmeet, GHOSH Soumyajit ,3, 2
Men's Doubles ,Final, 15:35 - 30/5/2015 , DEVOS Robin, NUYTINCK Cedric , KORIYAMA Hokuto, TAZOE Kenta ,3, 2
