项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Women's Doubles , 16, 21:00 - 19/1/2012 , LI Jiawei, SUN Beibei , CECHOVA Dana, PENKAVOVA Katerina ,2, 3
Women's Doubles , 16, 21:00 - 19/1/2012 , GAPONOVA Ganna, TRIFONOVA Polina ^ , HU Melek, ZHU Fang ,1, 3
Women's Doubles , 16, 21:00 - 19/1/2012 , PARTYKA Natalia, SZCZERKOWSKA Magdalena , PARK Miyoung, SEO Hyowon ,2, 3
Women's Doubles , 16, 21:00 - 19/1/2012 , BARTHEL Zhenqi, WINTER Sabine , LEE I-Chen, SCHALL Elke ,3, 1
Women's Doubles ,Quarter Final, 11:30 - 20/1/2012 , DING Ning, LIU Shiwen , PARK Miyoung, SEO Hyowon ,4, 1
Women's Doubles ,Quarter Final, 11:30 - 20/1/2012 , FAN Ying, WU Yang , LOVAS Petra, POTA Georgina ,4, 0
Women's Doubles ,Semi Final, 16:00 - 20/1/2012 , CECHOVA Dana, PENKAVOVA Katerina , DING Ning, LIU Shiwen ,1, 4
Women's Doubles ,Semi Final, 16:00 - 20/1/2012 , FAN Ying, WU Yang , BARTHEL Zhenqi, WINTER Sabine ,4, 1
Women's Doubles ,Final, 14:30 - 21/1/2012 , DING Ning, LIU Shiwen , FAN Ying, WU Yang ,4, 1
