项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130623,2/5 19:30,MACAO 2:3 PERU,LEONG Kin Wa ,RODRIGUEZ Diego ,3,2
mstm2,130623,2/5 19:30,,CHANG Hoi Wa ,LI Julio ,2,3
mstm2,130623,2/5 19:30,,CHE Long Lam ,CHAVEZ Johan ,0,3
mstm2,130623,2/5 19:30,,LEONG Kin Wa ,LI Julio ,3,2
mstm2,130623,2/5 19:30,,CHANG Hoi Wa ,RODRIGUEZ Diego ,1,3
mstm2,130624,2/5 19:30,SAN MARINO 0:3 TOGO,VANNUCCI Marco ,SALLAH DUSE Maurice ,1,3
mstm2,130624,2/5 19:30,,BERARDI Mattia ,AGBETOGLO Mawussi ,2,3
mstm2,130624,2/5 19:30,,TENTONI Riccardo ,LAWSON-GAIZER Fessou ,0,3
mstm2,130627,2/5 19:30,BAHRAIN 3:1 SYRIA,SALEH Mohamed ,MOSSLLY Yhya ,2,3
mstm2,130627,2/5 19:30,,ALYASSI Alyas ,DANDAL Yamen ,3,1
mstm2,130627,2/5 19:30,,SANAD Rashed ,BAATH Mohannad ,3,1
mstm2,130627,2/5 19:30,,SALEH Mohamed ,DANDAL Yamen ,3,1
mstm2,130628,2/5 19:30,SRI LANKA 3:0 LAOS,SIRISENA Rohan ,KONGPHET Phinith ,3,2
mstm2,130628,2/5 19:30,,RANASINGHA Imesh ,PHATHAPHONE Thavisack ,3,1
mstm2,130628,2/5 19:30,,SILVA Indika Prasad ,SOURINPHOUMY Piyadeth ,3,0
mstm2,130630,3/5 13:00,YEMEN 2:3 PERU,AL-DHUBHANI Muneer ,RODRIGUEZ Diego ,3,0
mstm2,130630,3/5 13:00,,ALI Omar ,LI Julio ,1,3
mstm2,130630,3/5 13:00,,AL-MAHAQERI Taha ,CHAVEZ Johan ,0,3
mstm2,130630,3/5 13:00,,AL-DHUBHANI Muneer ,LI Julio ,3,2
mstm2,130630,3/5 13:00,,ALI Omar ,RODRIGUEZ Diego ,1,3
mstm2,130632,3/5 13:00,UZBEKISTAN 3:1 BAHRAIN,KENJAEV Zokhid ,ALYASSI Alyas ,3,1
mstm2,130632,3/5 13:00,,HOLIKOV Elmurod ,JUMA Hasan ,3,2
mstm2,130632,3/5 13:00,,KARIMOV Anvar ,SANAD Rashed ,1,3
mstm2,130632,3/5 13:00,,KENJAEV Zokhid ,JUMA Hasan ,3,0
mstm2,130633,3/5 13:00,PHILIPPINES 2:3 SRI LANKA,GONZALES Richard ,RANASINGHA Imesh ,3,0
mstm2,130633,3/5 13:00,,VALLE Rodel ,SIRISENA Rohan ,1,3
mstm2,130633,3/5 13:00,,TIMSON Stephen ,SILVA Indika Prasad ,0,3
mstm2,130633,3/5 13:00,,GONZALES Richard ,SIRISENA Rohan ,3,0
mstm2,130633,3/5 13:00,,VALLE Rodel ,RANASINGHA Imesh ,0,3
mstm2,130634,4/5 10:00,MONTENEGRO 3:2 PERU,CEKIC Irfan ,CHAVEZ Johan ,3,2
mstm2,130634,4/5 10:00,,BAKIC Luka ,LI Julio ,1,3
mstm2,130634,4/5 10:00,,JUSKOVIC Nikola ,RODRIGUEZ Diego ,0,3
mstm2,130634,4/5 10:00,,CEKIC Irfan ,LI Julio ,3,0
mstm2,130634,4/5 10:00,,BAKIC Luka ,CHAVEZ Johan ,3,1
mstm2,130635,4/5 10:00,UZBEKISTAN 0:3 SRI LANKA,KENJAEV Zokhid ,RANASINGHA Imesh ,2,3
mstm2,130635,4/5 10:00,,HOLIKOV Elmurod ,SIRISENA Rohan ,1,3
mstm2,130635,4/5 10:00,,KARIMOV Anvar ,SILVA Indika Prasad ,1,3
mstm2,130636,4/5 16:30,MONTENEGRO 3:2 SRI LANKA,CEKIC Irfan ,RANASINGHA Imesh ,3,1
mstm2,130636,4/5 16:30,,BAKIC Luka ,SIRISENA Rohan ,2,3
mstm2,130636,4/5 16:30,,RADOVIC Filip ,SILVA Indika Prasad ,1,3
mstm2,130636,4/5 16:30,,CEKIC Irfan ,SIRISENA Rohan ,3,1
mstm2,130636,4/5 16:30,,BAKIC Luka ,RANASINGHA Imesh ,3,0
