项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130656,2/5 13:00,COSTA RICA 3:0 MOROCCO,MARTINEZ Jeison ,MERCADE Zakaria ,3,0
mstm2,130656,2/5 13:00,,FERNANDEZ Cesar ,BOUZOUBAA Mohamed ,3,0
mstm2,130656,2/5 13:00,,CASCANTE Gabriel ,BASSERI Aymane ,3,1
mstm2,130659,2/5 13:00,ICELAND 1:3 MAURITIUS,MAGNUSSON Magnus K ,CHAN YOOK FO Billy Brent ,3,2
mstm2,130659,2/5 13:00,,JONSSON David ,CHAN YOOK FO Brian ,2,3
mstm2,130659,2/5 13:00,,GUDMUNDSSON Dadi Freyr ,GUKHOOL Wasiim ,1,3
mstm2,130659,2/5 13:00,,MAGNUSSON Magnus K ,CHAN YOOK FO Brian ,1,3
mstm2,130660,2/5 13:00,AZERBAIJAN 3:0 NEW CALEDONIA,ISMAYILOV Farhad ,GUILLOT Lorenzo ,3,0
mstm2,130660,2/5 13:00,,JAFAROV Ramil ,SENS Laurent ,3,0
mstm2,130660,2/5 13:00,,ALIYEV Rustam ,CERVEAUX Adrien ,3,1
mstm2,130662,3/5 10:00,ANGOLA 3:2 KYRGYZSTAN,ANTONIO Alessio ,IAKUPBAEV Alisher ,3,1
mstm2,130662,3/5 10:00,,ANDRE Elizandro ,KULTAEV Ruslan ,0,3
mstm2,130662,3/5 10:00,,NETO Edvane ,CHOTOEV Tologon ,3,0
mstm2,130662,3/5 10:00,,ANTONIO Alessio ,KULTAEV Ruslan ,0,3
mstm2,130662,3/5 10:00,,ANDRE Elizandro ,IAKUPBAEV Alisher ,3,2
mstm2,130664,3/5 10:00,KOSOVO 1:3 MAURITIUS,CITAKU Linor ,CHAN YOOK FO Billy Brent ,3,0
mstm2,130664,3/5 10:00,,DOMANIKU Besart ,CHAN YOOK FO Brian ,2,3
mstm2,130664,3/5 10:00,,PRESTRESHI Ylli ,GUKHOOL Wasiim ,2,3
mstm2,130664,3/5 10:00,,CITAKU Linor ,CHAN YOOK FO Brian ,2,3
mstm2,130665,3/5 10:00,MONGOLIA 3:1 AZERBAIJAN,ENKHBAT Lkhagvasuren ,JAFAROV Ramil ,3,1
mstm2,130665,3/5 10:00,,BATKHISHIG Bilegt ,ISMAYILOV Farhad ,0,3
mstm2,130665,3/5 10:00,,BOLDBAATAR Baatarsuren ,HASANOV Hilal ,3,1
mstm2,130665,3/5 10:00,,ENKHBAT Lkhagvasuren ,ISMAYILOV Farhad ,3,1
mstm2,130666,4/5 10:00,ANGOLA 0:3 URUGUAY,ANTONIO Alessio ,WEITZNER Mateo ,1,3
mstm2,130666,4/5 10:00,,ANDRE Elizandro ,LORENZOTTI Gonzalo ,0,3
mstm2,130666,4/5 10:00,,NETO Edvane ,KACOWICZ Santiago ,1,3
mstm2,130667,4/5 10:00,MONGOLIA 3:0 MAURITIUS,ENKHBAT Lkhagvasuren ,CHAN YOOK FO Billy Brent ,3,0
mstm2,130667,4/5 10:00,,BATKHISHIG Bilegt ,CHAN YOOK FO Brian ,3,0
mstm2,130667,4/5 10:00,,BOLDBAATAR Baatarsuren ,GUKHOOL Wasiim ,3,1
