项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Men's Doubles , 16, 21:30 - 27/1/2012 , MA Long, ZHANG Jike , FEGERL Stefan, FENG Xiaoquan ,3, 0
Men's Doubles , 16, 21:30 - 27/1/2012 , FLORE Tristan, LEBESSON Emmanuel , GAO Ning, YANG Zi ,1, 3
Men's Doubles , 16, 21:30 - 27/1/2012 , TOKIC Bojan, ZIBRAT Jan , FLORAS Robert, GORAK Daniel ,3, 2
Men's Doubles , 16, 21:30 - 27/1/2012 , JUNG Youngsik, KIM Minseok , CANTERO Jesus, HE Zhiwen ,3, 1
Men's Doubles , 16, 21:30 - 27/1/2012 , DIDUKH Oleksandr, PRYSHCHEPA Yevhen , CHIANG Hung-Chieh, HUANG Sheng-Sheng ,1, 3
Men's Doubles , 16, 21:30 - 27/1/2012 , CHOI Wonjin, LEE Jungwoo , WANG Hao, XU Xin ,2, 3
Men's Doubles ,Quarter Final, 11:45 - 28/1/2012 , MA Long, ZHANG Jike , GAO Ning, YANG Zi ,4, 1
Men's Doubles ,Quarter Final, 11:45 - 28/1/2012 , JUNG Youngsik, KIM Minseok , CHIANG Hung-Chieh, HUANG Sheng-Sheng ,1, 4
Men's Doubles ,Quarter Final, 11:45 - 28/1/2012 , KARLSSON Kristian, KARLSSON Mattias , WANG Hao, XU Xin ,1, 4
Men's Doubles ,Semi Final, 16:15 - 28/1/2012 , MA Long, ZHANG Jike , MA Lin, YAN An ,4, 1
Men's Doubles ,Semi Final, 16:15 - 28/1/2012 , CHIANG Hung-Chieh, HUANG Sheng-Sheng , WANG Hao, XU Xin ,1, 4
Men's Doubles ,Final, 15:15 - 29/1/2012 , MA Long, ZHANG Jike , WANG Hao, XU Xin ,4, 2
